timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646098929720,1,View Basket,200,OK,Thread-Gruppe 1-10,text,true,,4787,194,2,2,http://localhost:8080/aggregate/cf4746bf-11c2-45b8-a35e-2ef627387a0d,1,0,0
1646098929721,1,Add Payment,200,OK,Thread-Gruppe 1-9,text,true,,953,338,2,2,http://localhost:8080/basket/e4979427-9197-4e28-bb3c-b8a5116046f0/payment,1,0,0
1646098929721,1,View Basket,200,OK,Thread-Gruppe 1-10,text,true,,4763,194,2,2,http://localhost:8080/aggregate/cf4746bf-11c2-45b8-a35e-2ef627387a0d,1,0,0
1646098929722,2,Add Payment,200,OK,Thread-Gruppe 1-10,text,true,,940,338,2,2,http://localhost:8080/basket/cf4746bf-11c2-45b8-a35e-2ef627387a0d/payment,2,0,0
1646098929722,2,Initialize Payment,200,OK,Thread-Gruppe 1-9,text,true,,3964,230,2,2,http://localhost:8080/basket/e4979427-9197-4e28-bb3c-b8a5116046f0/payment/initialize,2,0,0
1646098929724,2,Execute Payment,200,OK,Thread-Gruppe 1-9,text,true,,4022,227,2,2,http://localhost:8080/basket/e4979427-9197-4e28-bb3c-b8a5116046f0/payment/execute,2,0,0
1646098929707,19,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-9,,true,,26412,3152,2,2,null,17,0,0
1646098929724,2,Initialize Payment,200,OK,Thread-Gruppe 1-10,text,true,,3959,230,2,2,http://localhost:8080/basket/cf4746bf-11c2-45b8-a35e-2ef627387a0d/payment/initialize,2,0,0
1646098929726,2,Execute Payment,200,OK,Thread-Gruppe 1-10,text,true,,4033,227,1,1,http://localhost:8080/basket/cf4746bf-11c2-45b8-a35e-2ef627387a0d/payment/execute,1,0,0
1646098929709,19,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-10,,true,,26519,3152,1,1,null,18,0,0
1646098929728,0,Create Basket,201,Created,Thread-Gruppe 1-10,text,true,,259,203,1,1,http://localhost:8080/basket,0,0,0
